censusdate,month,day,year,treatment,scientificname,commonname,sex,hfl,wgt
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,53,136
1978-01-08,1,10,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,NA,NA,NA
1978-01-08,1,10,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,NA,NA,NA
1978-02-18,2,18,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,NA,24
1978-02-18,2,18,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,15,23
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,42
1978-02-18,2,19,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,NA
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,37,39
1978-02-18,2,19,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,20,23
1978-02-18,2,19,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,NA,NA,NA
1978-02-18,2,19,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,124
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,44
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,48
1978-02-18,2,19,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,NA
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,39,44
1978-02-18,2,19,1978,control,Perognathus flavus,Silky pocket mouse,NA,NA,NA
1978-02-18,2,19,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,46,137
1978-02-18,2,19,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,NA,NA,NA
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,39
1978-02-18,2,19,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,F,20,35
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,NA,NA,NA
1978-02-18,2,19,1978,control,Dipodomys merriami,Merriam's kangaroo rat,NA,NA,NA
1978-02-18,2,19,1978,control,Neotoma albigula,White-throated woodrat,NA,NA,197
1978-02-18,2,20,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,38,49
1978-02-18,2,20,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,38,50
1978-02-18,2,20,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,F,35,40
1978-02-18,2,20,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,F,37,46
1978-02-18,2,20,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,35,48
1978-03-11,3,11,1978,exclosure,Neotoma albigula,White-throated woodrat,M,32,232
1978-03-11,3,11,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,21,22
1978-03-11,3,11,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,21,26
1978-03-11,3,11,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,15,8
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,49,131
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,NA,NA
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,NA,NA
1978-03-11,3,12,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,NA,NA,NA
1978-03-11,3,12,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,NA,NA
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,43
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,NA,NA
1978-03-11,3,12,1978,control,Perognathus flavus,Silky pocket mouse,NA,NA,NA
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,141
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,53,138
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,43
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,124
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,NA,NA,NA
1978-03-11,3,12,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,NA,NA
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,43
1978-03-11,3,12,1978,control,Reithrodontomys megalotis,Western harvest mouse,NA,NA,NA
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,46
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,NA,NA
1978-03-11,3,12,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,NA,NA,NA
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,NA,NA
1978-03-11,3,12,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,NA,NA
1978-03-11,3,12,1978,control,Onychomys torridus,Southern grasshopper mouse,F,NA,NA
1978-03-11,3,12,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,NA,NA
1978-03-11,3,13,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,36,48
1978-03-11,3,13,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,F,NA,44
1978-03-11,3,13,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,35,45
1978-03-11,3,13,1978,removal,Onychomys leucogaster,Northern Grasshopper Mouse,F,NA,30
1978-03-11,3,13,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,37,48
1978-03-11,3,13,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,36,46
1978-04-08,4,8,1978,exclosure,Neotoma albigula,White-throated woodrat,F,32,NA
1978-04-08,4,8,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,20,NA
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,52,131
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,42
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,42
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,121
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,44
1978-04-08,4,9,1978,control,Dipodomys ordii,Ord's kangaroo rat,F,33,55
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,133
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,142
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,46
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,46,142
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,84
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,34,42
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,142
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,118
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,43
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,132
1978-04-08,4,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,75
1978-04-08,4,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,NA,49
1978-04-08,4,10,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,F,34,41
1978-04-08,4,10,1978,removal,Onychomys torridus,Southern grasshopper mouse,M,20,18
1978-04-08,4,10,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,36,47
1978-05-17,5,17,1978,exclosure,Onychomys leucogaster,Northern Grasshopper Mouse,F,19,29
1978-05-17,5,18,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,NA,48
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,52,118
1978-05-17,5,18,1978,control,Peromyscus maniculatus,Deer Mouse,F,20,22
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,42
1978-05-17,5,18,1978,exclosure,Neotoma albigula,White-throated woodrat,F,NA,182
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,29
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,34,23
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,49,131
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,41
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,115
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,121
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,38
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,126
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,120
1978-05-17,5,18,1978,control,Chaetodipus penicillatus,Desert pocket mouse,M,21,15
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,29
1978-05-17,5,18,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,37,41
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,68
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,NA,83
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,NA
1978-05-17,5,18,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,52,97
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,33,21
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,34,21
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,44
1978-05-17,5,18,1978,control,Dipodomys ordii,Ord's kangaroo rat,M,33,18
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,40
1978-05-17,5,18,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,41
1978-06-08,6,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,119
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,29
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,43
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,33,43
1978-06-08,6,8,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,F,21,29
1978-06-08,6,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,123
1978-06-08,6,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,133
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,29
1978-06-08,6,8,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,15,8
1978-06-08,6,8,1978,control,Neotoma albigula,White-throated woodrat,F,32,135
1978-06-08,6,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,98
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,43
1978-06-08,6,8,1978,control,Dipodomys ordii,Ord's kangaroo rat,M,34,23
1978-06-08,6,8,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,18,12
1978-06-08,6,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,NA,26
1978-06-08,6,8,1978,control,Chaetodipus penicillatus,Desert pocket mouse,M,21,15
1978-06-08,6,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,122
1978-06-08,6,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,46
1978-06-08,6,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,122
1978-06-08,6,9,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,20,29
1978-06-08,6,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,119
1978-06-08,6,9,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,38,48
1978-06-08,6,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,81
1978-06-08,6,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,93
1978-06-08,6,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,28
1978-07-07,7,7,1978,control,Chaetodipus penicillatus,Desert pocket mouse,M,22,16
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,35
1978-07-07,7,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,52,122
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,48
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,37,45
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,47
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,33,39
1978-07-07,7,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,132
1978-07-07,7,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,45
1978-07-07,7,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,96
1978-07-07,7,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,120
1978-07-07,7,7,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,16,8
1978-07-07,7,7,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,F,20,29
1978-07-07,7,7,1978,control,Dipodomys ordii,Ord's kangaroo rat,M,35,33
1978-07-07,7,8,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,21,12
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,130
1978-07-07,7,8,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,23,10
1978-07-07,7,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,39
1978-07-07,7,8,1978,control,Neotoma albigula,White-throated woodrat,M,33,113
1978-07-07,7,8,1978,exclosure,Neotoma albigula,White-throated woodrat,F,34,115
1978-07-07,7,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,36
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,120
1978-07-07,7,8,1978,exclosure,Neotoma albigula,White-throated woodrat,M,34,190
1978-07-07,7,8,1978,control,Chaetodipus penicillatus,Desert pocket mouse,M,23,10
1978-07-07,7,8,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,38,48
1978-07-07,7,8,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,36,46
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,81
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,80
1978-07-07,7,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,38,47
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,118
1978-07-07,7,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,91
1978-08-04,8,4,1978,control,Peromyscus eremicus,Cactus mouse,M,20,19
1978-08-04,8,4,1978,control,Peromyscus eremicus,Cactus mouse,F,19,14
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,37
1978-08-04,8,4,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,NA,NA,19
1978-08-04,8,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,123
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,30,17
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,50
1978-08-04,8,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,53,126
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,33,44
1978-08-04,8,4,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,15,8
1978-08-04,8,4,1978,control,Dipodomys ordii,Ord's kangaroo rat,M,35,38
1978-08-04,8,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,138
1978-08-04,8,4,1978,exclosure,Peromyscus maniculatus,Deer Mouse,F,NA,21
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,43
1978-08-04,8,4,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,M,19,14
1978-08-04,8,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,37,36
1978-08-04,8,4,1978,exclosure,Peromyscus maniculatus,Deer Mouse,M,20,19
1978-08-04,8,4,1978,exclosure,Onychomys leucogaster,Northern Grasshopper Mouse,M,20,20
1978-08-04,8,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,52,108
1978-08-04,8,4,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,19,12
1978-08-04,8,4,1978,control,Neotoma albigula,White-throated woodrat,F,32,149
1978-08-04,8,5,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,38,48
1978-08-04,8,5,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,35
1978-08-04,8,5,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,34
1978-08-04,8,5,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,123
1978-08-04,8,5,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,48,96
1978-08-04,8,5,1978,exclosure,Neotoma albigula,White-throated woodrat,F,31,196
1978-08-04,8,5,1978,removal,Onychomys leucogaster,Northern Grasshopper Mouse,M,22,NA
1978-08-04,8,5,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,35,36
1978-08-04,8,5,1978,removal,Dipodomys merriami,Merriam's kangaroo rat,M,38,49
1978-08-04,8,5,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,83
1978-08-04,8,5,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,21,14
1978-08-04,8,5,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,43
1978-08-04,8,5,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,82
1978-08-04,8,5,1978,removal,Onychomys leucogaster,Northern Grasshopper Mouse,F,NA,33
1978-08-04,8,5,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,119
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,34,NA
1978-09-03,9,3,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,F,21,33
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,37,46
1978-09-03,9,3,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,126
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,45
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,30
1978-09-03,9,3,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,122
1978-09-03,9,3,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,16,7
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,39,52
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,39,49
1978-09-03,9,3,1978,control,Chaetodipus penicillatus,Desert pocket mouse,F,22,14
1978-09-03,9,3,1978,control,Onychomys torridus,Southern grasshopper mouse,M,20,24
1978-09-03,9,3,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,136
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,44
1978-09-03,9,3,1978,control,Chaetodipus penicillatus,Desert pocket mouse,M,22,13
1978-09-03,9,3,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,16,6
1978-09-03,9,3,1978,exclosure,Onychomys leucogaster,Northern Grasshopper Mouse,M,21,24
1978-09-03,9,3,1978,control,Onychomys torridus,Southern grasshopper mouse,F,20,20
1978-09-03,9,3,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,M,22,15
1978-09-03,9,3,1978,control,Onychomys torridus,Southern grasshopper mouse,M,NA,NA
1978-09-03,9,3,1978,exclosure,Peromyscus eremicus,Cactus mouse,F,20,13
1978-09-03,9,3,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,52,110
1978-09-03,9,3,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,41
1978-09-03,9,4,1978,exclosure,Neotoma albigula,White-throated woodrat,F,34,141
1978-09-03,9,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,40
1978-09-03,9,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,39
1978-09-03,9,4,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,M,21,27
1978-09-03,9,4,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,21,13
1978-09-03,9,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,47
1978-09-03,9,4,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,20,15
1978-09-03,9,4,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,16,6
1978-09-03,9,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,51,118
1978-09-03,9,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,NA
1978-09-03,9,4,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,17,7
1978-09-03,9,4,1978,exclosure,Dipodomys merriami,Merriam's kangaroo rat,M,NA,NA
1978-09-03,9,4,1978,control,Perognathus flavus,Silky pocket mouse,F,16,6
1978-09-03,9,4,1978,control,Neotoma albigula,White-throated woodrat,M,32,118
1978-09-03,9,4,1978,exclosure,Onychomys torridus,Southern grasshopper mouse,F,20,28
1978-09-03,9,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,47
1978-09-03,9,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,77
1978-09-03,9,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,52,125
1978-09-03,9,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,37
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,45
1978-10-06,10,7,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,M,20,30
1978-10-06,10,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,108
1978-10-06,10,7,1978,exclosure,Onychomys leucogaster,Northern Grasshopper Mouse,M,20,30
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,37,45
1978-10-06,10,7,1978,control,Chaetodipus penicillatus,Desert pocket mouse,F,21,15
1978-10-06,10,7,1978,control,Dipodomys ordii,Ord's kangaroo rat,M,34,45
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,41
1978-10-06,10,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,52,134
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,42
1978-10-06,10,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,121
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,48
1978-10-06,10,7,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,49,118
1978-10-06,10,7,1978,control,Perognathus flavus,Silky pocket mouse,F,15,6
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,38
1978-10-06,10,7,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,41
1978-10-06,10,8,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,22,NA
1978-10-06,10,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,35,36
1978-10-06,10,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,37
1978-10-06,10,8,1978,exclosure,Neotoma albigula,White-throated woodrat,NA,NA,NA
1978-10-06,10,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,121
1978-10-06,10,8,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,15,NA
1978-10-06,10,8,1978,exclosure,Chaetodipus penicillatus,Desert pocket mouse,F,21,16
1978-10-06,10,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,53,115
1978-10-06,10,8,1978,control,Neotoma albigula,White-throated woodrat,NA,NA,NA
1978-10-06,10,8,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,45
1978-10-06,10,8,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,16,6
1978-10-06,10,8,1978,exclosure,Perognathus flavus,Silky pocket mouse,F,15,7
1978-10-06,10,8,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,120
1978-10-06,10,8,1978,exclosure,Peromyscus eremicus,Cactus mouse,NA,NA,18
1978-11-04,11,4,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,37
1978-11-04,11,4,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,120
