data_code,rec_year,rec_month,rec_day,animal_code,animal_sex,animal_weight,animal_yob
CBH01,2012,10,25,O-219,M,364,2012
CBH01,2012,10,25,O-220,M,290,2012
CBH01,2012,10,25,O-221,M,260,2012
CBH01,2012,10,25,O-222,M,332,2012
CBH01,2012,10,25,O-223,M,204,2012
CBH01,2012,10,25,O-224,M,370,2012
CBH01,2012,10,25,O-225,F,282,2012
CBH01,2012,10,25,O-226,F,372,2012
CBH01,2012,10,25,O-227,F,314,2012
CBH01,2012,10,25,O-228,F,302,2012
CBH01,2012,10,25,O-229,F,324,2012
CBH01,2012,10,25,O-230,F,328,2012
CBH01,2012,10,25,O-231,F,304,2012
CBH01,2012,10,25,O-232,F,336,2012
CBH01,2012,10,25,O-233,F,164,2012
CBH01,2012,10,25,O-234,F,324,2012
CBH01,2012,10,25,O-235,F,262,2012
CBH01,2012,10,25,O-236,F,336,2012
CBH01,2012,10,25,O-237,F,298,2012
CBH01,2012,10,25,O-238,M,360,2012
CBH01,2012,10,25,O-239,M,348,2012
CBH01,2012,10,25,O-240,M,376,2012
CBH01,2012,10,25,O-241,M,334,2012
CBH01,2012,10,25,O-242,F,380,2012
CBH01,2012,10,25,O-243,M,274,2012
CBH01,2012,10,25,O-244,F,314,2012
CBH01,2012,10,25,O-245,M,360,2012
CBH01,2012,10,25,O-246,F,336,2012
CBH01,2012,10,25,O-247,F,368,2012
CBH01,2012,10,25,O-248,F,326,2012
CBH01,2012,10,25,O-249,M,382,2012
CBH01,2012,10,25,O-250,M,316,2012
CBH01,2012,10,25,O-251,M,368,2012
CBH01,2012,10,25,O-252,F,324,2012
CBH01,2012,10,25,O-253,M,384,2012
CBH01,2012,10,25,O-254,M,388,2012
CBH01,2012,10,25,O-255,M,366,2012
CBH01,2012,10,25,O-256,M,256,2012
CBH01,2012,10,25,O-257,M,344,2012
CBH01,2012,10,25,O-258,F,240,2012
CBH01,2012,10,25,O-259,M,334,2012
CBH01,2012,10,25,O-260,F,284,2012
CBH01,2012,10,25,O-261,M,330,2012
CBH01,2012,10,25,O-262,M,378,2012
CBH01,2012,10,25,O-263,M,360,2012
CBH01,2012,10,25,O-264,F,274,2012
CBH01,2012,10,25,O-265,M,344,2012
CBH01,2012,10,25,O-266,F,390,2012
CBH01,2012,10,25,O-267,F,278,2012
CBH01,2012,10,25,O-268,F,332,2012
CBH01,2012,10,25,O-269,F,326,2012
CBH01,2012,10,25,O-270,M,422,2012
CBH01,2012,10,25,O-271,M,204,2012
CBH01,2012,10,25,O-272,F,332,2012
CBH01,2012,10,25,O-273,F,312,2012
CBH01,2012,10,25,O-274,M,376,2012
CBH01,2012,10,25,O-275,F,208,2012
CBH01,2012,10,25,O-276,M,217,2012
CBH01,2012,10,25,O-277,M,200,2012
CBH01,2012,10,25,O-278,F,258,2012
