Date,trapVisitID,subSiteName,catchRawID,releaseID,commonName,lifeStage,forkLength,weight,n,mort,fishOrigin,markType,CatchRaw.comments
1/31/2014 0:00,368,North Channel 8.1,36424,0,Steelhead / rainbow trout,Smolt,204,107.5,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36423,0,Steelhead / rainbow trout,Smolt,219,97.1,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36422,0,Steelhead / rainbow trout,Smolt,201,76,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36420,0,Steelhead / rainbow trout,Smolt,178,53.7,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36418,0,Steelhead / rainbow trout,Smolt,203,86,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36417,0,Steelhead / rainbow trout,Smolt,200,77.6,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36416,0,Steelhead / rainbow trout,Smolt,209,107,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36415,0,Steelhead / rainbow trout,Smolt,204,87.7,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36421,0,Steelhead / rainbow trout,Smolt,165,42.2,1,Yes,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36878,0,Steelhead / rainbow trout,Smolt,183,56.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36889,0,Steelhead / rainbow trout,Smolt,174,49,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36888,0,Steelhead / rainbow trout,Smolt,199,79.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36887,0,Steelhead / rainbow trout,Smolt,241,139.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36886,0,Steelhead / rainbow trout,Smolt,230,122.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36885,0,Steelhead / rainbow trout,Smolt,222,98.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36884,0,Steelhead / rainbow trout,Smolt,191,63.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36883,0,Steelhead / rainbow trout,Smolt,175,53.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36882,0,Steelhead / rainbow trout,Smolt,212,90,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36881,0,Steelhead / rainbow trout,Smolt,179,59.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36879,0,Steelhead / rainbow trout,Smolt,159,37.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36892,0,Steelhead / rainbow trout,Smolt,180,49.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36877,0,Steelhead / rainbow trout,Smolt,204,85.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36876,0,Steelhead / rainbow trout,Smolt,197,101.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36875,0,Steelhead / rainbow trout,Smolt,226,108.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36874,0,Steelhead / rainbow trout,Smolt,138,28.9,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36873,0,Steelhead / rainbow trout,Smolt,234,137.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36872,0,Steelhead / rainbow trout,Smolt,211,88.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36871,0,Steelhead / rainbow trout,Smolt,207,81,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36870,0,Steelhead / rainbow trout,Smolt,187,65.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36925,0,Steelhead / rainbow trout,Not recorded,NA,NA,2,No,Hatchery,Fin clip,Ad-clipped. Live unmeasured plus count.
2/1/2014 0:00,371,North Channel 8.1,36880,0,Steelhead / rainbow trout,Smolt,195,67.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36902,0,Steelhead / rainbow trout,Smolt,198,70,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36913,0,Steelhead / rainbow trout,Smolt,246,140,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36912,0,Steelhead / rainbow trout,Smolt,213,106.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36911,0,Steelhead / rainbow trout,Smolt,204,80.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36910,0,Steelhead / rainbow trout,Smolt,189,65.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36909,0,Steelhead / rainbow trout,Smolt,181,46.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36908,0,Steelhead / rainbow trout,Smolt,227,122.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36907,0,Steelhead / rainbow trout,Smolt,168,47.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36906,0,Steelhead / rainbow trout,Smolt,183,62.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36905,0,Steelhead / rainbow trout,Smolt,205,79,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36890,0,Steelhead / rainbow trout,Smolt,206,87.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36903,0,Steelhead / rainbow trout,Smolt,219,91.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36891,0,Steelhead / rainbow trout,Smolt,214,97,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36901,0,Steelhead / rainbow trout,Smolt,176,47.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36900,0,Steelhead / rainbow trout,Smolt,182,55.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36899,0,Steelhead / rainbow trout,Smolt,228,109.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36898,0,Steelhead / rainbow trout,Smolt,184,56.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36897,0,Steelhead / rainbow trout,Smolt,176,59.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36896,0,Steelhead / rainbow trout,Smolt,229,132,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36895,0,Steelhead / rainbow trout,Smolt,223,108.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36894,0,Steelhead / rainbow trout,Smolt,190,71,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36893,0,Steelhead / rainbow trout,Smolt,201,76.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38584,0,Steelhead / rainbow trout,Smolt,199,76.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36904,0,Steelhead / rainbow trout,Smolt,218,114.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36921,0,Steelhead / rainbow trout,Smolt,220,114.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38581,0,Steelhead / rainbow trout,Smolt,184,54.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38582,0,Steelhead / rainbow trout,Smolt,154,55,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38583,0,Steelhead / rainbow trout,Smolt,228,121.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36918,0,Steelhead / rainbow trout,Smolt,217,96.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36917,0,Steelhead / rainbow trout,Smolt,179,56.9,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36916,0,Steelhead / rainbow trout,Smolt,202,82.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36923,0,Steelhead / rainbow trout,Smolt,242,135.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36922,0,Steelhead / rainbow trout,Smolt,196,66.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36920,0,Steelhead / rainbow trout,Smolt,191,61.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36914,0,Steelhead / rainbow trout,Smolt,221,109.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38589,0,Steelhead / rainbow trout,Smolt,222,110.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36919,0,Steelhead / rainbow trout,Smolt,209,95.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36915,0,Steelhead / rainbow trout,Smolt,185,66.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38592,0,Steelhead / rainbow trout,Smolt,234,114.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38586,0,Steelhead / rainbow trout,Smolt,242,156.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38588,0,Steelhead / rainbow trout,Smolt,179,53.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38585,0,Steelhead / rainbow trout,Smolt,184,62.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,371,North Channel 8.1,36924,0,Steelhead / rainbow trout,Smolt,247,155.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38590,0,Steelhead / rainbow trout,Smolt,220,117,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38591,0,Steelhead / rainbow trout,Smolt,182,68.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/1/2014 0:00,382,North Channel 8.2,38587,0,Steelhead / rainbow trout,Smolt,204,87,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38715,0,Steelhead / rainbow trout,Smolt,204,79.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38712,0,Steelhead / rainbow trout,Silvery parr,174,54.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38716,0,Steelhead / rainbow trout,Silvery parr,170,42.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38714,0,Steelhead / rainbow trout,Silvery parr,214,84.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38717,0,Steelhead / rainbow trout,Smolt,219,83,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38713,0,Steelhead / rainbow trout,Silvery parr,173,52.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38706,0,Steelhead / rainbow trout,Smolt,218,82.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38711,0,Steelhead / rainbow trout,Smolt,232,116.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38709,0,Steelhead / rainbow trout,Silvery parr,163,38.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37128,0,Steelhead / rainbow trout,Smolt,223,102.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38708,0,Steelhead / rainbow trout,Smolt,226,103,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38707,0,Steelhead / rainbow trout,Smolt,208,89.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38710,0,Steelhead / rainbow trout,Smolt,235,124,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37139,0,Steelhead / rainbow trout,Smolt,NA,NA,1,No,Hatchery,Fin clip,Ad-clipped. Live unmeasured plus count. (only one).
2/2/2014 0:00,372,North Channel 8.1,37138,0,Steelhead / rainbow trout,Smolt,225,119.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37137,0,Steelhead / rainbow trout,Smolt,177,54.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37136,0,Steelhead / rainbow trout,Smolt,173,47.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37135,0,Steelhead / rainbow trout,Smolt,170,43.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37134,0,Steelhead / rainbow trout,Smolt,207,86.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37132,0,Steelhead / rainbow trout,Smolt,244,134.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37129,0,Steelhead / rainbow trout,Smolt,192,59,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37127,0,Steelhead / rainbow trout,Smolt,208,88.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37131,0,Steelhead / rainbow trout,Smolt,220,96.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38704,0,Steelhead / rainbow trout,Smolt,216,101.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,383,North Channel 8.2,38705,0,Steelhead / rainbow trout,Smolt,209,84.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37130,0,Steelhead / rainbow trout,Smolt,163,34.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37095,0,Steelhead / rainbow trout,Smolt,196,62,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37109,0,Steelhead / rainbow trout,Smolt,211,96.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37108,0,Steelhead / rainbow trout,Smolt,222,103.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37106,0,Steelhead / rainbow trout,Smolt,171,48.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37104,0,Steelhead / rainbow trout,Smolt,194,70.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37103,0,Steelhead / rainbow trout,Smolt,225,112.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37102,0,Steelhead / rainbow trout,Smolt,189,69.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37101,0,Steelhead / rainbow trout,Smolt,206,85.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37100,0,Steelhead / rainbow trout,Smolt,230,112.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37099,0,Steelhead / rainbow trout,Smolt,173,56.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37098,0,Steelhead / rainbow trout,Smolt,232,106.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37110,0,Steelhead / rainbow trout,Smolt,186,62,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37096,0,Steelhead / rainbow trout,Smolt,192,69.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37107,0,Steelhead / rainbow trout,Smolt,194,70,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37094,0,Steelhead / rainbow trout,Smolt,213,95,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37093,0,Steelhead / rainbow trout,Smolt,160,32.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37092,0,Steelhead / rainbow trout,Smolt,218,101.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37091,0,Steelhead / rainbow trout,Smolt,198,77.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37090,0,Steelhead / rainbow trout,Smolt,192,68.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37089,0,Steelhead / rainbow trout,Smolt,181,60,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37088,0,Steelhead / rainbow trout,Smolt,169,50,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37133,0,Steelhead / rainbow trout,Smolt,219,85.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37087,0,Steelhead / rainbow trout,Smolt,236,132.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37126,0,Steelhead / rainbow trout,Smolt,193,73.5,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37086,0,Steelhead / rainbow trout,Smolt,198,68,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37097,0,Steelhead / rainbow trout,Smolt,182,60.9,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37116,0,Steelhead / rainbow trout,Smolt,215,85,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37125,0,Steelhead / rainbow trout,Smolt,199,77.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37124,0,Steelhead / rainbow trout,Smolt,183,57.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37123,0,Steelhead / rainbow trout,Smolt,200,66.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37122,0,Steelhead / rainbow trout,Smolt,251,154.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37121,0,Steelhead / rainbow trout,Smolt,174,49,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37120,0,Steelhead / rainbow trout,Smolt,189,62.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37119,0,Steelhead / rainbow trout,Smolt,221,98.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37085,0,Steelhead / rainbow trout,Smolt,205,84.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37105,0,Steelhead / rainbow trout,Smolt,210,85.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37117,0,Steelhead / rainbow trout,Smolt,176,55.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37115,0,Steelhead / rainbow trout,Smolt,196,73.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37114,0,Steelhead / rainbow trout,Smolt,220,103.3,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37112,0,Steelhead / rainbow trout,Smolt,230,131,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37111,0,Steelhead / rainbow trout,Smolt,250,143.4,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37113,0,Steelhead / rainbow trout,Smolt,233,127.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/2/2014 0:00,372,North Channel 8.1,37118,0,Steelhead / rainbow trout,Smolt,193,66.2,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38826,0,Steelhead / rainbow trout,Smolt,200,74.6,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37301,0,Steelhead / rainbow trout,Smolt,199,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37302,0,Steelhead / rainbow trout,Smolt,241,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37303,0,Steelhead / rainbow trout,Smolt,208,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37304,0,Steelhead / rainbow trout,Smolt,216,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37305,0,Steelhead / rainbow trout,Smolt,199,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37306,0,Steelhead / rainbow trout,Smolt,214,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37307,0,Steelhead / rainbow trout,Smolt,NA,NA,36,No,Hatchery,Fin clip,Ad-clipped. Live unmeasured plus count.
2/3/2014 0:00,384,North Channel 8.2,38824,0,Steelhead / rainbow trout,Smolt,171,48.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37291,0,Steelhead / rainbow trout,Smolt,194,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,373,North Channel 8.1,37300,0,Steelhead / rainbow trout,Smolt,214,NA,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38827,0,Steelhead / rainbow trout,Smolt,167,47.1,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38828,0,Steelhead / rainbow trout,Smolt,198,68.7,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38829,0,Steelhead / rainbow trout,Smolt,205,75,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38830,0,Steelhead / rainbow trout,Smolt,178,52.8,1,No,Hatchery,Fin clip,Ad-clipped.
2/3/2014 0:00,384,North Channel 8.2,38831,0,Steelhead / rainbow trout,Smolt,196,73.4,1,No,Hatchery,Fin clip,Ad-clipped.
